dmf_no,dmf_submit_date,dmf_holder,dmf_subject,year,month
183,29-Feb-52,ASHLAND LLC,POLYVINYL PYRROLIDONE-IODINE 10,1952,2
191,24-Jan-56,SPECGX LLC,PARZONE BITARTRATE (DIHYDROCODEINE BITARTRATE),1956,1
240,11-Jan-57,DR REDDYS LABORATORIES LTD,NORETHINDRONE ,1957,1
339,8-Jul-59,SOLVAY USA INC,IGEPAL® CO-630 SPECIAL USP,1959,7
395,10-Aug-60,DSM NUTRITIONAL PRODUCTS INC,5% D-METHORPHAN HYDROBROMIDE ADSORBATE POWDER,1960,8
453,13-Jul-65,FIS FABBRICA ITALIANA SINTETICI SPA,NITROFURANTOIN & NITROFURANTOIN MACROCRYSTALS,1965,7
467,15-Feb-62,FIS FABBRICA ITALIANA SINTETICI SPA,CHLORDIAZEPOXIDE HCL,1962,2
745,2-Dec-63,CAMBREX PROFARMACO MILANO SRL,CHLORDIAZEPOXIDE HYDROCHLORIDE,1963,12
863,23-Nov-64,ARCH CHEMICALS INC,ZINC OMADINE ,1964,11
881,2-Jan-65,CAMBREX PROFARMACO MILANO SRL,HYDROCHLOROTHIAZIDE,1965,1
883,18-Mar-65,CAMBREX PROFARMACO MILANO SRL,CHLOROTHIAZIDE,1965,3
1049,21-Mar-67,SIEGFRIED USA LLC,PHENOBARBITAL SODIUM USP ,1967,3
1050,22-Mar-67,SIEGFRIED USA LLC,SECOBARBITAL SODIUM USP,1967,3
1051,23-Mar-67,SIEGFRIED USA LLC,AMOBARBITAL SODIUM USP,1967,3
1076,15-Aug-67,AJINOMOTO CO INC,AMINO ACID PRODUCTS,1967,8
1166,9-Apr-68,SIEGFRIED USA LLC,BUTALBITAL USP,1968,4
1169,19-Apr-68,SIEGFRIED USA LLC,PENTOBARBITOL SODIUM USP,1968,4
1241,30-Sep-68,FMC LITHIUM SUB FMC CORP,LITHIUM CARBONATE ,1968,9
1271,13-Dec-68,CHATTEM CHEMICALS INC,AMINOACETIC ACID (GLYCINE) ,1968,12
1356,18-Mar-69,UNION CARBIDE CORP A WHOLLY OWNED SUB OF THE DOW CHEMICAL CO,CARBOWAX POLYETHYLENE GLYCOL,1969,3
1413,2-Sep-69,PHARMACIA AND UPJOHN CO LLC WHOLLY OWNED SUB OF PFIZER INC,HYDROCORTISONE MICRONIZED AND NON-MICRONIZED,1969,9
1418,4-Sep-69,PHARMACIA AND UPJOHN CO LLC WHOLLY OWNED SUB OF PFIZER INC,PROGESTERONE MICRONIZED AND CRYSTALS,1969,9
1467,31-Dec-69,DDP SPECIALTY ELECTRONIC MATERIALS US INC,"DOW CORNING(TM) Q7-2243 LVA, SIMETHICONE USP",1969,12
